"","DataZone2011Code","TDS"
"384","S01006541",-3.51357119
"385","S01006541",-0.267118414
"386","S01006545",-4.852512382
"387","S01006545",-2.10824105
"388","S01006545",0.686751932
"389","S01006545",0.489273055
"390","S01006540",-1.035710559
"391","S01006545",-6.140951388
"392","S01006546",-4.158471259
"393","S01006546",-3.012314244
"394","S01006545",-4.145378925
"395","S01006546",-4.36799921
"396","S01006544",-2.157541413
"397","S01006546",-5.914309344
"398","S01006550",-3.382731023
"399","S01006550",-5.871535802
"400","S01006550",-6.174521862
"401","S01006530",-1.327531381
"402","S01006530",1.284793999
"403","S01006530",-0.778579477
"404","S01006529",-0.278344661
"405","S01006599",1.126640622
"406","S01006529",-0.238227294
"407","S01006532",-0.445178762
"408","S01006532",-2.464315011
"409","S01006529",-0.085422417
"410","S01006529",3.174866287
"411","S01006599",-0.001682587
"412","S01006529",-0.075514611
"413","S01006529",0.234050959
"414","S01006529",2.649688353
"415","S01006599",2.45004835
"416","S01006599",2.488797974
"417","S01006599",-0.320815887
"418","S01006600",-2.72134387
"419","S01006600",-5.139694687
"420","S01006542",-4.059705115
"421","S01006542",-5.664100644
"422","S01006542",-3.284842702
"423","S01006548",-3.183917347
"424","S01006548",-4.914661882
"425","S01006548",-4.185586769
"426","S01006550",-5.713527719
"427","S01006548",-5.338585773
"428","S01006544",-6.300805466
"429","S01006544",-4.357607524
"430","S01006544",-0.748953832
"431","S01006550",-5.822429092
"432","S01006550",-2.163763903
"433","S01006551",-3.645036058
"434","S01006548",-5.693597438
"435","S01006551",-0.324246882
"436","S01006551",3.425284314
"437","S01006547",4.713060275
"438","S01006551",3.496929625
"439","S01006551",-0.431367808
"440","S01006551",0.878166329
"441","S01006551",-0.20450859
"442","S01006547",-0.457082809
"443","S01006547",-6.115785789
"444","S01006547",7.17743801
"445","S01006547",-2.328552505
"446","S01006547",1.493939912
"447","S01006547",1.192623911
"448","S01006518",-5.998102429
"449","S01006518",-4.427368066
"450","S01006518",-3.404686657
"451","S01006517",-4.232603928
"452","S01006525",-1.612965816
"453","S01006525",-4.192126513
"454","S01006525",-2.458119776
"455","S01006519",-3.65417863
"456","S01006519",-6.254571542
"457","S01006525",-4.41087963
"458","S01006519",-4.07749472
"459","S01006517",-4.308598512
"460","S01006517",-1.977308209
"461","S01006517",-5.603381414
"462","S01006517",-3.986214626
"463","S01006517",-3.926679878
"464","S01006523",-1.960813592
"465","S01006523",-5.571773007
"466","S01006522",-5.594536005
"467","S01006523",-3.525491678
"468","S01006522",-4.066844378
"469","S01006522",-3.941421535
"470","S01006521",-4.677185632
"471","S01006521",-3.165221589
"472","S01006523",-0.706590795
"473","S01006523",-1.813028102
"474","S01006523",-5.207834638
"475","S01006523",-2.072667815
"476","S01006524",-2.097217242
"477","S01006524",-0.021947392
"478","S01006524",-1.530525725
"479","S01006524",-5.356814015
"480","S01006524",-3.218252093
"481","S01006525",-4.741362615
"482","S01006525",-3.618574755
"483","S01006519",-4.695208208
"484","S01006518",-4.811012562
"485","S01006518",-3.653993754
"486","S01006639",1.721189008
"487","S01006637",-2.493851978
"488","S01006637",-3.183869811
"489","S01006640",-3.003065066
"490","S01006640",-0.695243967
"491","S01006640",-0.321124021
"492","S01006640",0.753136193
"493","S01006640",2.081421583
"494","S01006640",2.852792682
"495","S01006637",5.21404255
"496","S01006639",6.173713016
"497","S01006637",4.319119248
"498","S01006639",4.670983145
"499","S01006639",1.451065121
"500","S01006638",6.214299052
"501","S01006638",3.418922829
"502","S01006639",0.838884624
"503","S01006639",1.958411403
"504","S01006638",1.88940678
"505","S01006639",6.93380162
"506","S01006639",2.924109022
"507","S01006638",4.220609965
"508","S01006638",2.584372102
"509","S01006638",-0.141033437
"510","S01006641",-0.284285234
"511","S01006641",-1.201908619
"512","S01006641",-1.473569001
"513","S01006641",5.134093777
"514","S01006641",-0.082084971
"515","S01006641",-3.62578095
"516","S01006641",0.622631817
"517","S01006644",3.613651217
"518","S01006644",1.133864346
"519","S01006641",5.775804733
"520","S01006641",3.175573252
"521","S01006641",-1.974149755
"522","S01006641",0.858005508
"523","S01006643",2.490563786
"524","S01006643",0.716653778
"525","S01006643",-1.461315922
"526","S01006643",0.183445599
"527","S01006643",-1.699140773
"528","S01006643",2.637662068
"529","S01006644",2.745679415
"530","S01006670",3.723060298
"531","S01006670",3.312483871
"532","S01006670",2.294276874
"533","S01006668",0.487132173
"534","S01006668",2.491778091
"535","S01006668",1.636596009
"536","S01006668",-2.333946407
"537","S01006669",1.65093167
"538","S01006669",2.588290389
"539","S01006669",3.995740608
"540","S01006669",4.41156138
"541","S01006669",3.010013197
"542","S01006672",-0.950795033
"543","S01006672",4.432590717
"544","S01006672",3.83596377
"545","S01006672",2.847529691
"546","S01006666",5.797302544
"547","S01006672",4.554456623
"548","S01006666",7.06557964
"549","S01006666",2.103159068
"550","S01006666",1.720535155
"551","S01006666",4.521980537
"552","S01006666",5.834964864
"553","S01006673",1.939309928
"554","S01006673",1.505708849
"555","S01006673",6.978196363
"556","S01006674",5.422724406
"557","S01006674",4.218288876
"558","S01006673",2.476348925
"559","S01006672",6.64827699
"560","S01006673",1.375291047
"561","S01006673",1.223221466
"562","S01006672",5.886398374
"563","S01006674",4.502789167
"564","S01006688",-2.470125793
"565","S01006688",-3.886132642
"566","S01006688",-3.032797585
"567","S01006688",-2.973750412
"568","S01006688",0.168799057
"569","S01006688",-0.043098728
"570","S01006688",-1.239282171
"571","S01006688",4.983788817
"572","S01006688",2.940919286
"573","S01006695",-1.035421343
"574","S01006686",2.249865046
"575","S01006687",-2.065933728
"576","S01006687",-2.52400301
"577","S01006687",-1.068057847
"578","S01006687",2.909707081
"579","S01006687",2.77805626
"580","S01006687",3.46646879
"581","S01006686",2.579287419
"582","S01006686",-2.162825286
"583","S01006687",2.643664065
"584","S01006686",2.301690305
"585","S01006685",2.874339018
"586","S01006685",2.341341083
"587","S01006681",-2.133254938
"588","S01006681",6.345604301
"589","S01006726",5.807120145
"590","S01006681",2.003584158
"591","S01006681",5.855106819
"592","S01006685",-0.015292853
"593","S01006685",4.468909981
"594","S01006685",2.088299044
"595","S01006687",2.972599848
"596","S01006685",2.778897549
"597","S01006693",5.216635023
"598","S01006681",0.708760063
"599","S01006685",5.441521006
"600","S01006679",-0.773952205
"601","S01006684",-3.908577557
"602","S01006684",4.251700834
"603","S01006693",1.816139944
"604","S01006693",2.240155723
"605","S01006693",-2.031523516
"606","S01006693",3.228345269
"607","S01006693",2.256127719
"608","S01006690",1.833124365
"609","S01006693",-0.420876701
"610","S01006690",-0.281481929
"611","S01006690",1.162610885
"612","S01006682",6.758172789
"613","S01006682",4.266097511
"614","S01006682",4.364706114
"615","S01006682",6.651565094
"616","S01006683",0.283574811
"617","S01006692",-2.330361996
"618","S01006683",0.859337041
"619","S01006683",2.004170792
"620","S01006692",-2.142868882
"621","S01006692",-1.767118774
"622","S01006683",6.90570439
"623","S01006683",6.201809505
"624","S01006683",5.846354631
"625","S01006683",3.679133647
"626","S01006683",6.687366351
"627","S01006682",3.370548965
"628","S01006682",6.443270942
"629","S01006684",7.648170457
"630","S01006679",2.224520167
"631","S01006684",6.846658773
"632","S01006684",0.693587259
"633","S01006679",-2.834057204
"634","S01006679",-1.821938427
"635","S01006679",-4.49668628
"636","S01006678",3.293596149
"637","S01006680",5.033575864
"638","S01006680",3.817412966
"639","S01006678",4.112811557
"640","S01006678",3.841311717
"641","S01006679",-4.870819218
"642","S01006675",6.087928881
"643","S01006675",4.391495648
"644","S01006675",6.048934681
"645","S01006675",-0.166660632
"646","S01006677",2.510055041
"647","S01006677",6.392669613
"648","S01006677",4.580377642
"649","S01006677",3.618427196
"650","S01006677",5.009832109
"651","S01006677",4.608196555
"652","S01006676",1.522703145
"653","S01006676",5.975671404
"654","S01006676",6.8821196
"655","S01006678",4.336182159
"656","S01006678",4.138275331
"657","S01006676",6.525332507
"658","S01006676",-2.619805485
"659","S01006680",3.967149753
"660","S01006678",4.307803216
"661","S01006680",4.911064488
"662","S01006678",5.808031133
"663","S01006678",6.785697012
"664","S01006680",5.945185363
"665","S01006680",4.601990936
"666","S01006680",5.011200773
"667","S01006678",0.891789534
"668","S01006678",1.372525193
"669","S01006659",-3.21516225
"670","S01006659",-0.022665469
"671","S01006659",-0.835330663
"672","S01006660",0.189530952
"673","S01006660",3.463457017
"674","S01006660",6.286978444
"675","S01006660",6.288078395
"676","S01006662",6.080485398
"677","S01006662",6.414928518
"678","S01006662",1.797270121
"679","S01006661",0.09516514
"680","S01006661",2.504025942
"681","S01006661",-1.587008172
"682","S01006661",-1.647373106
"683","S01006661",1.114538703
"684","S01006658",2.250219318
"685","S01006659",-0.521768615
"686","S01006658",2.138474365
"687","S01006658",2.387106709
"688","S01006658",2.981088741
"689","S01006658",4.873062533
"690","S01006658",6.482145315
"691","S01006665",1.671458744
"692","S01006664",2.833104027
"693","S01006663",-0.492728236
"694","S01006664",1.889741575
"695","S01006663",2.147877051
"696","S01006669",1.059262469
"697","S01006663",0.071853373
"698","S01006663",2.455592821
"699","S01006663",-0.089332836
"700","S01006665",-1.72336009
"701","S01006665",5.5104665
"702","S01006665",-1.547765983
"703","S01006665",0.355696454
"704","S01006665",1.38059699
"705","S01006658",1.913602121
"706","S01006658",5.103737742
"707","S01006642",0.007050383
"708","S01006651",3.545111229
"709","S01006652",2.989428429
"710","S01006642",-0.628382511
"711","S01006643",0.347737661
"712","S01006643",0.801947484
"713","S01006642",5.888713568
"714","S01006639",5.068093457
"715","S01006642",4.288015792
"716","S01006642",-0.363951929
"717","S01006649",5.855771889
"718","S01006651",6.25002388
"719","S01006649",1.855705434
"720","S01006649",-0.874338991
"721","S01006650",1.976893239
"722","S01006649",3.366270054
"723","S01006650",0.781392983
"724","S01006651",3.038287419
"725","S01006650",3.825723587
"726","S01006650",-0.211429318
"727","S01006650",1.889232549
"728","S01006655",-0.884098488
"729","S01006655",0.532868294
"730","S01006657",-0.007492616
"731","S01006650",-1.556379569
"732","S01006657",4.587753825
"733","S01006677",2.892560972
"734","S01006692",0.212075408
"735","S01006692",-2.067177062
"736","S01006692",0.068256735
"737","S01006692",-4.688228112
"738","S01006692",-2.118056018
"739","S01006689",-2.588653158
"740","S01006689",-2.112118302
"741","S01006689",-3.317422091
"742","S01006689",-4.613006195
"743","S01006689",-5.249984128
"744","S01006657",0.452684904
"745","S01006691",-0.222235804
"746","S01006691",-3.99590186
"747","S01006691",1.78272096
"748","S01006572",-4.637814124
"749","S01006572",-4.275038838
"750","S01006562",-4.598375012
"751","S01006562",-5.486422904
"752","S01006562",2.582261138
"753","S01006562",1.947932929
"754","S01006562",-4.302703591
"755","S01006563",1.381813014
"756","S01006562",-0.372942611
"757","S01006561",-4.279534861
"758","S01006561",-4.283243605
"759","S01006560",-1.453335769
"760","S01006560",-5.307408532
"761","S01006560",-0.726930336
"762","S01006560",-0.54130691
"763","S01006560",-4.537206057
"764","S01006561",-5.335485112
"765","S01006561",-2.668051674
"766","S01006563",0.637248069
"767","S01006559",-0.473976731
"768","S01006559",-3.14782973
"769","S01006560",-1.15840549
"770","S01006560",-3.2043111
"771","S01006563",-3.991452294
"772","S01006563",-1.558205818
"773","S01006563",-3.415815161
"774","S01006558",-4.750616298
"775","S01006558",-1.624495827
"776","S01006569",-5.088936711
"777","S01006558",-3.764399016
"778","S01006559",0.082146468
"779","S01006569",1.055089285
"780","S01006568",-0.443437437
"781","S01006566",-1.564172839
"782","S01006566",0.942156672
"783","S01006549",0.109785389
"784","S01006549",-1.105988375
"785","S01006572",-4.813858408
"786","S01006572",-1.389106874
"787","S01006572",-2.963730227
"788","S01006573",-4.605239528
"789","S01006573",-4.31209276
"790","S01006573",-2.699315658
"791","S01006574",-3.791098932
"792","S01006571",-5.13959236
"793","S01006574",-3.393165872
"794","S01006574",-2.490773286
"795","S01006574",-1.586002074
"796","S01006559",-3.020539554
"797","S01006559",-1.120054138
"798","S01006559",-4.16369425
"799","S01006570",-0.409068726
"800","S01006570",-4.180570219
"801","S01006570",-0.522671671
"802","S01006570",-1.059576671
"803","S01006570",-0.948891644
"804","S01006570",-4.937171834
"805","S01006568",-0.775759196
"806","S01006571",-3.079878573
"807","S01006570",0.698679546
"808","S01006571",-3.581244897
"809","S01006571",-2.80099031
"810","S01006571",-5.169972331
"811","S01006564",-0.229097378
"812","S01006564",-1.2688015
"813","S01006564",-3.687059449
"814","S01006564",0.121894352
"815","S01006568",-0.826586927
"816","S01006568",0.902495765
"817","S01006568",-0.647887036
"818","S01006569",-0.427149425
"819","S01006569",1.750995225
"820","S01006568",-0.891840293
"821","S01006568",3.468908576
"822","S01006568",2.212683968
"823","S01006567",4.368350894
"824","S01006567",2.218178336
"825","S01006567",3.805969635
"826","S01006564",1.113177181
"827","S01006564",-1.310787104
"828","S01006564",-2.840003439
"829","S01006565",-1.712113459
"830","S01006564",5.658855451
"831","S01006564",7.229311475
"832","S01006567",1.013491086
"833","S01006567",-2.071968581
"834","S01006565",1.359308434
"835","S01006565",0.140437456
"836","S01006565",2.420569402
"837","S01006567",0.581511152
"838","S01006656",-3.008888584
"839","S01006656",0.662305264
"840","S01006566",2.71126265
"841","S01006656",1.307078812
"842","S01006566",-1.055318175
"843","S01006566",0.121428246
"844","S01006566",-2.349508225
"845","S01006566",-0.156609156
"846","S01006705",2.322325096
"847","S01006705",1.655714515
"848","S01006705",-1.847911771
"849","S01006705",-2.096112096
"850","S01006705",2.542533987
"851","S01006705",0.885094456
"852","S01006705",-1.097342641
"853","S01006714",-0.381916148
"854","S01006707",7.61702952
"855","S01006714",-1.914218521
"856","S01006707",2.12519389
"857","S01006714",-4.29071231
"858","S01006714",-1.278816434
"859","S01006714",0.51197769
"860","S01006716",-3.921108633
"861","S01006729",3.40799495
"862","S01006716",2.886853824
"863","S01006718",3.267419
"864","S01006686",0.805086357
"865","S01006729",2.374672288
"866","S01006714",0.518568421
"867","S01006717",-1.340690944
"868","S01006714",3.487481365
"869","S01006717",1.496722509
"870","S01006717",-0.235917823
"871","S01006717",0.265207527
"872","S01006717",1.123037428
"873","S01006717",3.672930869
"874","S01006702",1.106686987
"875","S01006702",0.268674791
"876","S01006702",0.74327785
"877","S01006702",-0.977746688
"878","S01006702",1.665252488
"879","S01006702",0.473920279
"880","S01006717",-0.274202311
"881","S01006722",1.552849199
"882","S01006717",4.666887717
"883","S01006713",2.979190116
"884","S01006723",1.620310201
"885","S01006713",-0.299973209
"886","S01006722",1.412692299
"887","S01006715",0.048119459
"888","S01006722",2.788941292
"889","S01006722",1.795592689
"890","S01006722",-0.425887265
"891","S01006722",1.872775912
"892","S01006723",-2.163223334
"893","S01006723",-4.281134737
"894","S01006723",0.219444321
"895","S01006724",6.876184041
"896","S01006723",2.597899346
"897","S01006694",2.347708394
"898","S01006694",6.13911387
"899","S01006694",1.17239123
"900","S01006694",2.027730212
"901","S01006694",-0.136356849
"902","S01006696",1.096904538
"903","S01006694",-1.991675136
"904","S01006698",3.751198536
"905","S01006698",3.052571955
"906","S01006698",-0.356380085
"907","S01006698",1.833542481
"908","S01006697",-3.930481533
"909","S01006697",-1.259922801
"910","S01006697",1.325642522
"911","S01006697",4.150926075
"912","S01006697",2.825043348
"913","S01006697",1.598401783
"914","S01006696",4.828912115
"915","S01006696",-1.607208155
"916","S01006696",4.761724979
"917","S01006696",2.405830402
"918","S01006695",-0.759761526
"919","S01006700",3.20878452
"920","S01006695",0.061264888
"921","S01006695",-1.797562492
"922","S01006695",-3.835953178
"923","S01006695",1.714756721
"924","S01006699",1.278110892
"925","S01006699",-5.696956585
"926","S01006700",1.27635479
"927","S01006700",-4.294871732
"928","S01006563",-5.640058514
"929","S01006563",0.644866989
"930","S01006700",2.564077133
"931","S01006700",2.135136401
"932","S01006654",3.587439069
"933","S01006654",0.118025385
"934","S01006654",6.115053602
"935","S01006655",-1.796135157
"936","S01006655",0.032413235
"937","S01006655",1.255028156
"938","S01006654",2.200551355
"939","S01006653",1.03520089
"940","S01006657",-0.484861302
"941","S01006654",0.50184656
"942","S01006654",3.029076173
"943","S01006654",3.890979179
"944","S01006552",-4.733181224
"945","S01006552",-5.738294074
"946","S01006552",-4.347815419
"947","S01006552",-3.57727434
"948","S01006552",-3.352888857
"949","S01006556",-1.035002774
"950","S01006553",-3.534672044
"951","S01006556",-2.95940997
"952","S01006553",-3.231098469
"953","S01006553",-3.92795483
"954","S01006553",1.044752463
"955","S01006553",-2.005844898
"956","S01006556",-0.402404081
"957","S01006554",2.588029051
"958","S01006554",-2.613526139
"959","S01006554",5.195320999
"960","S01006554",-3.124911282
"961","S01006703",2.208099725
